branch-load-misses,branch-loads,dTLB-loads,dTLB-stores,iTLB-loads,iTLB-stores,L1-dcache-load-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,L1-icache-store-misses,node-loads,node-stores,branch-instructions,branch-misses,instructions,type,apk
752935,179446573,211478416,210385784,3690050,3685063,2258,0,116062804,2960,0,0,0,247736794,784430,704933629,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,179446573,211478416,210385784,3945669,3950108,2258,0,116102753,2960,0,0,0,249848904,897021,711600917,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,179448153,211482930,210390298,4333656,4329676,2258,0,116147995,2960,0,0,0,254904464,1024586,721935354,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,192363168,231771173,230678541,4782072,4777085,2258,0,116310412,3397,0,0,0,271684447,1362854,773222871,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,208534195,249571314,248575859,5176002,5171445,2258,0,116310412,3397,0,0,0,287647546,1370215,821187621,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,226160948,270375982,269283350,5659108,5654546,2258,0,116389235,3397,0,0,0,292305930,1516048,840571165,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,227653314,273285186,272192911,6049165,6045043,2258,0,116389235,3397,0,0,0,294047769,1743419,844602388,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,231409774,279004838,277912206,6420301,6416611,2258,0,116389235,3397,0,0,0,307476444,1794226,891202173,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,231996693,280687125,279594493,6858574,6853587,2258,0,116389235,3397,0,0,0,328844412,1799161,958791188,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,232892710,283123702,282031070,7032843,7027856,2258,0,116389235,3397,0,0,0,331370236,1822529,959576568,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
752935,246713472,304715259,303662330,7140633,7135646,2258,0,116389235,3397,0,0,0,333446877,2096090,968899662,benign,404EBBC524F57D506F36297E1CF229C2D59964F897ACBAF18A3E62DF4B106F75.apk
